raw_text,title,denomination,category,date_of_issue,Image
"4th February 2002:        'Swami Ramanand'

Denomination	INR 04.00",'Swami Ramanand',INR 04.00,,4 Feb 2002,https://postagestamps.gov.in/images/Stamp-Rel34.gif
"28th January 2002:        'The Year of Books 2001-2002'

Denomination	INR 04.00",'The Year of Books 2001-2002',INR 04.00,,28 Jan 2002,https://postagestamps.gov.in/images/Stamp-Rel33.gif
"21st January 2002:        'Mahabodhi Temple, Bodhgaya'

Denomination	INR 15.00","'Mahabodhi Temple, Bodhgaya'",INR 15.00,,21 Jan 2002,https://postagestamps.gov.in/images/Stamp-Rel32.gif
"21st January 2002:        'Mahaparinirvana Temple, Kushinagar'

Denomination	INR 08.00","'Mahaparinirvana Temple, Kushinagar'",INR 08.00,,21 Jan 2002,https://postagestamps.gov.in/images/Stamp-Rel31.gif
"21st January 2002:         'Dhamek Stupa, Saranath'

Denomination	INR 04.00","'Dhamek Stupa, Saranath'",INR 04.00,,21 Jan 2002,https://postagestamps.gov.in/images/Stamp-Rel30.gif
"21st January 2002:        'Gridhakuta Hills, Rajgir'

Denomination	INR 04.00","'Gridhakuta Hills, Rajgir'",INR 04.00,,21 Jan 2002,https://postagestamps.gov.in/images/Stamp-Rel29.gif
"15th January 2002:        'Indian Army, 2001 Everest Expedition'

Denomination	INR 04.00","'Indian Army, 2001 Everest Expedition'",INR 04.00,,15 Jan 2002,https://postagestamps.gov.in/images/Stamp-Rel28.gif
"7th January 2002:        '100 Years  of Directorate General of Mines Safety'

Denomination	INR 04.00",'100 Years of Directorate General of Mines Safety',INR 04.00,,7 Jan 2002,https://postagestamps.gov.in/images/Stamp-Rel27.gif
"31st  December 2003:  

'Major Somanth Sharma, PVC' 

Denomination	INR 05.00","'Major Somanth Sharma, PVC'",INR 05.00,,31 Dec 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel142.gif
"31st  December 2003:  

'S. Nijalingappa' 

Denomination	INR 05.00",'S. Nijalingappa',INR 05.00,,31 Dec 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel145.gif
"29th  December 2003:  

 'Personality Series: Folk Music - Allah Jilai Bai' 

Denomination	INR 05.00",'Personality Series: Folk Music - Allah Jilai Bai',INR 05.00,,29 Dec 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel144.gif
"29th  December 2003:  

'Personality Series: Folk Music - Lalan Fakir' 

Denomination	INR 05.00",'Personality Series: Folk Music - Lalan Fakir',INR 05.00,,29 Dec 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel143.gif
"22nd  December 2003:  

 'Sangeet Natak Akademi' 

Denomination	INR 05.00",'Sangeet Natak Akademi',INR 05.00,,22 Dec 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel141.gif
"22nd  December 2003:  

'Sangeet Natak Akademi' 

Denomination	INR 05.00",'Sangeet Natak Akademi',INR 05.00,,22 Dec 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel140.gif
"22nd  December 2003:  

 'Sangeet Natak Akademi' 

Denomination	INR 05.00",'Sangeet Natak Akademi',INR 05.00,,22 Dec 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel139.gif
"20th December 2003:  

 'Swami Swaroopanandji' 

Denomination	INR 05.00",'Swami Swaroopanandji',INR 05.00,,20 Dec 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel138.gif
"18th December 2003:  

 'Mukut Behari Lal Bhargava' 

Denomination	INR 05.00",'Mukut Behari Lal Bhargava',INR 05.00,,18 Dec 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel137.gif
"11th December 2003:  

 '200th Session of Rajya Sabha' 

Denomination	INR 05.00",'200th Session of Rajya Sabha',INR 05.00,,11 Dec 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel136.gif
"10th December 2003:  

 '30th  Anniversary of Diplomatic Relations Between India and The Republic of Korea' 

Denomination	INR 15.00",'30th Anniversary of Diplomatic Relations Between India and The Republic of Korea',INR 15.00,,10 Dec 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel135.gif
"3rd December 2003:  

'Yashpal' 

Denomination	INR 05.00",'Yashpal',INR 05.00,,3 Dec 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel134.gif
"29th November 2003:  

 'India-France: Joint Issue' 

Denomination        2200 P",'India-France: Joint Issue',#N/A,,29 Nov 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel133.gif
"27th November 2003:  

'Harivansh Rai Bachan' 

Denomination	INR 05.00",'Harivansh Rai Bachan',INR 05.00,,27 Nov 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel132.gif
"22nd November 2003:  

'2 Guards (1 Grenaiers)-225 Years' 

Denomination	INR 05.00",'2 Guards (1 Grenaiers)-225 Years',INR 05.00,,22 Nov 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel131.gif
"14th November 2003:  

 'Children's Day' 

Denomination	INR 05.00",'Children's Day',INR 05.00,,14 Nov 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel130.gif
"12th November 2003:  

 'Nature India : Snakes' 

Denomination	INR 05.00",'Nature India : Snakes',INR 05.00,,12 Nov 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel129.gif
"12th November 2003:  

'Nature India : Snakes' 

Denomination	INR 05.00",'Nature India : Snakes',INR 05.00,,12 Nov 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel128.gif
"12th November 2003:  

 'Nature India : Snakes' 

Denomination	INR 05.00",'Nature India : Snakes',INR 05.00,,12 Nov 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel127.gif
"12th November 2003:  

 'Nature India : Snakes' 

Denomination	INR 05.00",'Nature India : Snakes',INR 05.00,,12 Nov 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel126.gif
"9th November 2003:  

 '100 Years of Kalka-Shimla Railway' 

Denomination	INR 05.00",'100 Years of Kalka-Shimla Railway',INR 05.00,,9 Nov 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel125.gif
"7th November 2003:  

 'Bengal Sappers Bicentenary ' 

Denomination	INR 05.00",'Bengal Sappers Bicentenary ',INR 05.00,,7 Nov 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel124.gif
"1st November 2003:  

 '150 Years of Telecommunications in India' 

Denomination	INR 05.00",'150 Years of Telecommunications in India',INR 05.00,,1 Nov 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel123.gif
"30th October 2003:  

'Greetings' 

Denomination        400 P",'Greetings',400 P,,30 Oct 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel122.gif
"30th October 2003:  

 'Greetings' 

Denomination	400 P",'Greetings',400 P,,30 Oct 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel121.gif
"30th October 2003:  

 'Greetings' 

Denomination	INR 05.00",'Greetings',INR 05.00,,30 Oct 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel120.gif
"30th October 2003:  

 'Greetings' 

Denomination	INR 05.00",'Greetings',INR 05.00,,30 Oct 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel119.gif
"21st October 2003:  

'Govindrao Pansare' 

Denomination	INR 05.00",'Govindrao Pansare',INR 05.00,,21 Oct 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel118.gif
"14th October 2003:  

 'Narendra Mohan' 

Denomination	INR 05.00",'Narendra Mohan',INR 05.00,,14 Oct 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel117.gif
"10th October 2003:  

 'K. Shivarama Karanth' 

Denomination	INR 05.00",'K. Shivarama Karanth',INR 05.00,,10 Oct 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel116.gif
"9th October 2003:  

 'Jnanpith Award Winners - Thakazhi Sivasankara Pillai ' 

Denomination	INR 05.00",'Jnanpith Award Winners - Thakazhi Sivasankara Pillai ',INR 05.00,,9 Oct 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel115.gif
"9th October 2003:  

 'Jnanpith Award Winners - S.K. Pottekkatt' 

Denomination	INR 05.00",'Jnanpith Award Winners - S.K. Pottekkatt',INR 05.00,,9 Oct 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel114.gif
"9th October 2003:  

'Jnanpith Award Winners - G. Sankara Kurup' 

Denomination	INR 05.00",'Jnanpith Award Winners - G. Sankara Kurup',INR 05.00,,9 Oct 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel113.gif
"3rd October 2003:  

 'Waterfalls of India Jogfalls' 

Denomination	INR 15.00",'Waterfalls of India Jogfalls',INR 15.00,,3 Oct 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel112.gif
"3rd October 2003:  

 'Waterfalls of India Kempty Falls' 

Denomination	INR 05.00",'Waterfalls of India Kempty Falls',INR 05.00,,3 Oct 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel111.gif
"3rd October 2003:  

 'Waterfalls of India Athirapalli Falls' 

Denomination	INR 05.00",'Waterfalls of India Athirapalli Falls',INR 05.00,,3 Oct 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel110.gif
"3rd October 2003:  

'Waterfalls of India Kakolat Falls' 

Denomination	INR 05.00",'Waterfalls of India Kakolat Falls',INR 05.00,,3 Oct 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel109.gif
"24th September 2003:  

 'Janardan Swami' 

Denomination	INR 05.00",'Janardan Swami',INR 05.00,,24 Sep 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel106.gif
"15th September 2003:  

'Temple Architecture - Jagannath Temple, Puri ' 

Denomination	INR 05.00","'Temple Architecture - Jagannath Temple, Puri '",INR 05.00,,15 Sep 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel108.gif
"15th September 2003:  

 'Temple Architecture - Tripureswari Temple, Udaipur' 

Denomination	INR 05.00","'Temple Architecture - Tripureswari Temple, Udaipur'",INR 05.00,,15 Sep 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel107.gif
"3rd September 2003:  

'International Conference on Austin' 

Denomination	INR 05.00",'International Conference on Austin',INR 05.00,,3 Sep 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel105.gif
"30th June 2003:  

 'Bade Ghulam Ali Khan' 

Denomination	INR 05.00",'Bade Ghulam Ali Khan',INR 05.00,,30 Jun 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel104.gif
"23rd June 2003:  

'V.K. Rajwade' 

Denomination	INR 05.00",'V.K. Rajwade',INR 05.00,,23 Jun 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel103.gif
"19th June 2003:  

 'Government Museum, Chennai' 

Denomination	INR 05.00","'Government Museum, Chennai'",INR 05.00,,19 Jun 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel102.gif
"19th June 2003:  

 'Government Museum, Chennai' 

Denomination	INR 05.00","'Government Museum, Chennai'",INR 05.00,,19 Jun 2003,https://postagestamps.gov.in/images/Stamps2003/Stamp-Rel101.gif
